hs6,description,product,category,segment,dgcis_segment,in_fed_definition,in_old_fed_analysis,in_telangana_study,in_icea,in_dgcis,in_icrier,world_exports_usd_bn,share_of_world_trade,comments,search_terms
853521,"Electrical apparatus; automatic circuit breakers, for a voltage exceeding 1000 volts but less than 72.5kV",Electrical apparatus,Electrical Equipment,Components,Not Included,no,yes,no,no,no,no,0.258529,0.000031,Small world share,
853529,"Electrical apparatus; automatic circuit breakers, for a voltage of 72.5kV or more",Electrical apparatus,Electrical Equipment,Components,Not Included,no,yes,no,no,no,no,0.016523,0.000002,Small world share,
853530,"Electrical apparatus; isolating and make-and-break switches, for a voltage exceeding 1000 volts",Electrical apparatus,Electrical Equipment,Components,Not Included,no,yes,no,no,no,no,2.212816,0.000265,Small world share,
853540,"Electrical apparatus; lightning arresters, voltage limiters and surge suppressors (for a voltage exceeding 1000 volts)",Electrical apparatus,Electrical Equipment,Components,Not Included,no,yes,no,no,no,no,0.563771,0.000127,Small world share,
853590,"Electrical apparatus; n.e.c. in heading no. 8535, for switching or protecting electrical circuits, for a voltage exceeding 1000 volts",Electrical apparatus,Electrical Equipment,Components,Not Included,no,yes,no,no,no,no,3.018839,0.000361,Small world share,
853610,"Electrical apparatus; fuses, for a voltage not exceeding 1000 volts",Electrical apparatus,Electrical Equipment,Components,Not Included,yes,yes,no,yes,no,no,2.965703,0.000501,Included in ICEA,
853620,"Electrical apparatus; automatic circuit breakers, for a voltage not exceeding 1000 volts",Electrical apparatus,Electrical Equipment,Components,Not Included,yes,yes,no,no,no,no,10.812843,0.002178,Included based on subjective judgement,
853630,"Electrical apparatus; for protecting electrical circuits, n.e.c. in heading no. 8536, for a voltage not exceeding 1000 volts",Electrical apparatus,Electrical Equipment,Components,Not Included,no,yes,no,no,no,no,7.879356,0.000943,Small world share,
853641,"Electrical apparatus; relays, (for a voltage not exceeding 60 volts)",Relay (electricaly operated switch),Electrical Equipment,Components,Electronics components,yes,yes,yes,no,yes,yes,4.89022,0.001229,Included in DGCIS,
853649,"Electrical apparatus; relays, for a voltage exceeding 60 volts",Relay (electricaly operated switch),Electrical Equipment,Components,Electronics components,yes,yes,yes,no,yes,yes,5.58427,0.000897,Included in DGCIS,
853650,"Electrical apparatus; switches n.e.c. in heading no. 8536, for a voltage not exceeding 1000 volts",Switches,Electrical Equipment,Components,Not Included,yes,yes,no,yes,no,no,20.781868,0.004371,Included in ICEA,
853661,"Electrical apparatus; lamp-holders, for a voltage not exceeding 1000 volts",Lamp holders,Electrical Equipment,Components,Not Included,no,yes,no,no,no,no,0.514338,0.000116,Small world share,
853669,"Electrical apparatus; plugs and sockets, for a voltage not exceeding 1000 volts",Plugs and sockets,Electrical Equipment,Components,Not Included,yes,yes,no,yes,no,no,21.56922,0.003531,Included in ICEA,
853670,"Connectors for optical fibres, optical fibre bundles or cables",Optical fibre cables,Electrical Equipment,Components,Not Included,no,yes,no,no,no,no,2.816826,0.000337,Small world share,
853690,"Electrical apparatus; n.e.c. in heading no. 8536, for switching or protecting electrical circuits, for a voltage not exceeding 1000 volts",Voltage regulators,Electrical Equipment,Components,Not Included,yes,yes,no,yes,no,no,41.271026,0.01003,Included in ICEA,
853710,"Boards, panels, consoles, desks and other bases; for electric control or the distribution of electricity, (other than switching apparatus of heading no. 8517), for a voltage not exceeding 1000 volts",Electrical boards / panels / Consoles,Electrical Equipment,Components,Electronics components,yes,yes,yes,yes,yes,yes,80.683513,0.019239,Included in DGCIS,
853720,"Boards, panels, consoles, desks and other bases; for electric control or the distribution of electricity, (other than switching apparatus of heading no. 8517), for a voltage exceeding 1000 volts","Boards, panels, consoles",Electrical Equipment,Components,Electronics components,yes,yes,yes,yes,yes,yes,7.429852,0.002197,Included in DGCIS,
853810,"Electrical apparatus; parts (e.g. boards, panels, consoles, desks, cabinets, other bases), for goods of heading no. 8537, not equipped with their apparatus",Parts of electrical apparatus,Electrical Equipment,Components,Electronics components,yes,yes,yes,yes,yes,yes,4.86489,0.000913,Included in DGCIS,
853890,"Electrical apparatus; parts suitable for use solely or principally with the apparatus of heading no. 8535, 8536 or 8537",Mechanics for Mobile Phones,Mobile & Telephone,Final Goods,Telecom instruments,yes,yes,yes,yes,yes,yes,38.030557,0.007991,Included in DGCIS,
853910,Lamps; sealed beam units,Lamps,Consumer Durables,Final Goods,Not Included,no,yes,no,no,no,no,0.058424,0.000007,Small world share,
853921,"Lamps; filament, (excluding ultra-violet or infra-red), tungsten halogen",Lamps,Consumer Durables,Final Goods,Not Included,no,yes,no,no,no,no,0.599059,0.000072,Small world share,
853922,"Lamps; filament, (excluding ultra-violet or infra-red), of a power not exceeding 200W and for a voltage exceeding 100 volts, other than tungsten halogen",Lamps,Consumer Durables,Final Goods,Not Included,no,yes,no,no,no,no,0.350356,0.000079,Small world share,
853929,"Lamps; filament, (excluding ultra-violet or infra-red), n.e.c. in item no. 8539.2",Lamps,Consumer Durables,Final Goods,Not Included,no,yes,no,no,no,no,0.66458,0.000149,Small world share,
853931,"Lamps; discharge, (excluding ultra-violet), fluorescent, hot cathode",Lamps,Consumer Durables,Final Goods,Not Included,yes,yes,no,no,no,yes,0.56237,0.000015,Included based on subjective judgement,
853932,"Lamps; discharge, (excluding ultra-violet), mercury or sodium vapour lamps, metal halide lamps",Lamps,Consumer Durables,Final Goods,Not Included,no,yes,no,no,no,no,0.449358,0.000101,Small world share,
853939,"Lamps; discharge, (excluding ultra-violet, excluding fluorescent, hot cathode)",Lamps,Consumer Durables,Final Goods,Not Included,no,yes,no,no,no,no,0.391867,0.000088,Small world share,
853941,Lamps; arc-lamps,Lamps,Consumer Durables,Final Goods,Not Included,no,yes,no,no,no,no,0.640711,0.000144,Small world share,
853949,"Lamps; ultra-violet or infra-red lamps, (excluding arc-lamps)",Lamps,Consumer Durables,Final Goods,Not Included,no,yes,no,no,no,no,0.550572,0.000066,Small world share,
853950,Lamps; light-emitting diode (LED) lamps,LED Lamps,Consumer Durables,Final Goods,Not Included,yes,yes,no,no,no,yes,0.001209,0,Included based on subjective judgement,
853990,Lamps; parts of the lamps of heading no. 8539,Parts of lamps,Consumer Durables,Components,Not Included,no,yes,no,no,no,no,0.676873,0.000152,Small world share,
854011,"Tubes; cathode-ray television picture tubes, including video monitor cathode-ray tubes, colour",Cathode ray tubes,Other Electronics,Components,Electronics components,yes,yes,no,no,yes,yes,0.010882,0.000002,Included in DGCIS,
854012,"Tubes; cathode-ray television picture tubes, including video monitor cathode-ray tubes, black and white or other monochrome",Cathode ray tubes,Other Electronics,Components,Electronics components,yes,yes,no,no,yes,no,0.001862,0,Included in DGCIS,
854020,"Tubes; television camera tubes, image converters and intensifiers, other photo-cathode tubes",Cathode ray tubes,Other Electronics,Components,Electronics components,yes,yes,no,no,yes,yes,0.604844,0.000136,Included in DGCIS,
854040,"Tubes; data/graphic display tubes, monochrome; data/graphic display tubes, colour, with a phosphor dot screen pitch smaller than 0.4mm",Display tubes,Other Electronics,Components,Electronics components,yes,yes,no,no,yes,no,0.01882,0.000004,Included in DGCIS,
854060,"Tubes; cathode ray, n.e.c. in heading no. 8540",Cathode ray tubes,Other Electronics,Components,Electronics components,yes,yes,no,no,yes,yes,0.009401,0.000002,Included in DGCIS,
854071,"Tubes; microwave, magnetrons, excluding grid-controlled tubes",an electron tube for amplifying or generating microwaves,Other Electronics,Components,Electronics components,yes,yes,no,no,yes,yes,0.372635,0.000084,Included in DGCIS,
854079,"Tubes; microwave (for example klystrons, travelling wave tubes, carlinotrons), excluding magnetrons and grid-controlled tubes",Valves and tubes,Other Electronics,Components,Electronics components,yes,yes,no,no,yes,yes,0.230853,0.000052,Included in DGCIS,
854081,Valves and tubes; receiver or amplifier,Valves and tubes,Other Electronics,Components,Electronics components,yes,yes,no,no,yes,no,0.138224,0.000031,Included in DGCIS,
854089,Valves and tubes; n.e.c. in heading no. 8540,Valves and tubes,Other Electronics,Components,Electronics components,yes,yes,no,no,yes,yes,0.243501,0.000055,Included in DGCIS,
854091,Tubes; parts of cathode-ray tubes,Cathode ray tubes,Other Electronics,Components,Electronics components,yes,yes,no,no,yes,yes,0.038547,0.000009,Included in DGCIS,
854099,"Valves and tubes; parts of the valves and tubes of heading no. 8540, excluding parts of cathode-ray tubes",Parts of valves and tubes,Other Electronics,Components,Electronics components,yes,yes,no,no,yes,yes,0.153622,0.000035,Included in DGCIS,
854110,"Electrical apparatus; diodes, other than photosensitive or light-emitting diodes (LED)",Diodes,Electrical Equipment,Components,Electronics components,yes,yes,yes,yes,yes,yes,12.076602,0.00343,Included in DGCIS,
854121,"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of less than 1W",Transistors,Electrical Equipment,Components,Electronics components,yes,yes,yes,yes,yes,yes,4.65362,0.001174,Included in DGCIS,
854129,"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of 1W or more",Transistors,Electrical Equipment,Components,Electronics components,yes,yes,yes,yes,yes,yes,32.718801,0.006236,Included in DGCIS,
854130,"Electrical apparatus; thyristors, diacs and triacs, other than photosensitive devices","Thyristors, diacs, triacs",Electrical Equipment,Components,Electronics components,yes,yes,yes,no,yes,yes,1.64135,0.000121,Included in DGCIS,
854140,"Electrical apparatus; photosensitive, including photovoltaic cells, whether or not assembled in modules or made up into panels, light-emitting diodes (LED)",Solar Cells,Electrical Equipment,Components,Not Included,yes,yes,no,yes,no,yes,0.286638,0.000458,Included in ICEA,
854141,"Electrical apparatus; photosensitive semiconductor devices, light emitting diodes (LED)",Photosensitive semiconductor devices,Semiconductor,Components,Electronics components,yes,no,no,no,yes,no,12.144395,0.001914,Included in DGCIS,
854142,"Electrical apparatus; photosensitive semiconductor devices, photovoltaic cells not assembled in modules or made up into panels",Photosensitive semiconductor devices,Semiconductor,Components,Electronics components,yes,no,no,no,yes,no,7.408322,0.001234,Included in DGCIS,
854143,"Electrical apparatus; photosensitive semiconductor devices, photovoltaic cells assembled in modules or made up into panels",Photosensitive semiconductor devices,Semiconductor,Components,Electronics components,yes,no,no,no,yes,no,56.145972,0.014011,Included in DGCIS,
854149,"Electrical apparatus; photosensitive semiconductor devices, diodes other than light emitting diodes and photovoltaic cells whether or not assembled in modules or made up into panels",Photosensitive semiconductor devices,Other Electronics,Components,Electronics components,yes,no,no,no,yes,no,9.122223,0.002061,Included in DGCIS,
854150,"Electrical apparatus; photosensitive semiconductor devices n.e.c. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",Photosensitive semiconductor devices,Semiconductor,Components,Not Included,yes,yes,no,no,no,yes,0.222607,0.00005,Included based on subjective judgement,
854151,"Electrical apparatus; photosensitive semiconductor devices, semiconductor-based transducers",Photosensitive semiconductor devices,Semiconductor,Components,Electronics components,yes,no,no,no,yes,no,0.693627,0.000006,Included in DGCIS,
854159,Electrical apparatus; photosensitive semiconductor devices n.e.c. in heading no. 8541,Photosensitive semiconductor devices,Semiconductor,Components,Electronics components,yes,no,no,no,yes,no,2.548315,0.000382,Included in DGCIS,
